Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
AdBa	-	-	62	70	84	91	91	94	-	98	90	72	72	69	74	74	-	-	-	-	-
AdBazsy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	45	46	59	-	-	-
AdGó	-	-	-	-	-	94	94	63	50	51	49	46	86	86	80	71	71	69	85	95	93
AdKe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	94
AdKr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63	63	58
AdRu	-	85	-	-	140	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AdWo	-	-	-	-	132	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AdiDaKe	-	-	-	-	111	106	106	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AdiJeKr	25	34	17	19	19	21	21	24	29	41	28	30	34	34	30	35	35	39	22	-	-
AdiMiPl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	48	-	68
AdiPiRą	-	-	-	-	-	-	88	96	91	88	85	41	41	24	36	36	-	-	-	-	-
AgWe	-	-	-	-	-	-	-	-	-	-	-	93	93	88	97	97	92	100	-	-	-
AlGu	2	2	2	2	4	3	3	5	7	9	12	12	-	-	-	-	-	-	-	-	-
AlLe	15	37	75	-	125	144	144	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AlWe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	68	64
AlWezdz	-	-	-	-	-	-	-	-	-	-	-	24	24	19	22	22	24	27	-	-	-
AnAd	88	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnCi	72	66	55	53	64	68	68	68	68	71	-	-	-	-	-	-	-	-	-	-	-
AnCz	-	-	-	-	-	-	-	51	-	74	61	-	-	-	-	-	-	-	-	-	-
AnGł	-	-	-	-	146	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnKa	88	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnKo	85	69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnMi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	98	-	-	-
AnOl	-	-	-	-	-	-	-	-	-	-	-	99	99	-	92	92	78	84	97	-	-
AnPa	35	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnPo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	47	50	49	46
AnPozro	19	16	23	27	28	27	27	27	32	43	39	31	39	39	37	38	38	-	-	-	-
AnPt	-	-	-	-	-	-	-	-	-	-	-	10	10	70	11	11	6	9	9	10	16
AnRa	54	67	73	95	117	120	120	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnRy	77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AnSt	-	-	-	-	83	96	96	79	41	-	-	-	-	-	-	-	-	-	-	-	-
AnSz	-	-	-	-	-	-	-	52	50	37	44	95	95	86	99	99	96	-	-	-	-
